ChatGPT Condensed Output: Abstract Index, ChatGPT Result, Original Result
5, 1, 1
19, 0, 1   
20, 0, 1
49, 1, 1
51, 1, 1
83, 0, 1
109, 1, 1
115, 1, 1
168, 1, 1
173, 0, 1
219, 1, 1
314, 0, 1
337, 1, 1
345, 1, 1
381, 1, 1
397, 1, 1
411, 0, 1
415, 1, 1
447, 1, 1
448, 0, 1
460, 0, 1
463, 1, 1
476, 0, 1
483, 1, 1
511, 1, 1
516, 1, 1
521, 1, 1
522, 1, 1
528, 1, 1
534, 0, 1
540, 1, 1
545, 1, 1
564, 1, 1
581, 1, 1
584, 1, 1
595, 1, 1
601, 0, 1
613, 0, 1
627, 1, 1
647, 0, 1
680, 1, 1
694, 0, 1
699, 1, 1
747, 1, 1
758, 1, 1
768, 0, 1
791, 1, 1
803, 0, 1
804, 0, 1
866, 1, 1
877, 0, 1
888, 1, 1
898, 1, 1
903, 1, 1
905, 0, 1
912, 1, 1
924, 0, 1
977, 1, 1
992, 1, 1
1002, 1, 1
1017, 1, 1
1037, 1, 1
1053, 1, 1
1059, 0, 1
1061, 1, 1
1096, 1, 1
1105, 0, 1
1111, 1, 1
1118, 1, 1
1126, 1, 1
1145, 0, 1
1166, 0, 1
1180, 0, 1
1189, 1, 1
1208, 1, 1
1219, 1, 1
1222, 1, 1
1223, 0, 1
1225, 1, 1
1244, 1, 1
1255, 1, 1
1256, 1, 1
1275, 0, 1
1279, 1, 1
1287, 1, 1
1307, 1, 1
1321, 1, 1
1322, 0, 1
1347, 0, 1
1349, 1, 1
1364, 1, 1
1367, 1, 1
1376, 0, 1
1396, 1, 1
1397, 0, 1
1415, 0, 1
1453, 0, 1
1462, 0, 1
1463, 1, 1
1467, 1, 1
