Claude Condensed Output: Abstract Index, Claude Result, Original Result
35, 0, 0
46, 0, 0
53, 0, 0
54, 0, 0
61, 0, 0
64, 0, 0
68, 0, 0
69, 0, 0
82, 0, 0
86, 1, 0
94, 1, 0
96, 0, 0
108, 1, 0
113, 0, 0
115, 0, 0
118, 0, 0
124, 0, 0
126, 0, 0
149, 1, 0
152, 0, 0
153, 0, 0
154, 0, 0
157, 0, 0
165, 0, 0
172, 0, 0
186, 0, 0
198, 0, 0
200, 0, 0
222, 1, 0
225, 0, 0
234, 0, 0
242, 1, 0
267, 0, 0
268, 1, 0
269, 1, 0
270, 1, 0
277, 0, 0
280, 0, 0
282, 0, 0
288, 0, 0
291, 1, 0
294, 0, 0
296, 0, 0
300, 0, 0
301, 0, 0
304, 0, 0
320, 0, 0
333, 0, 0
338, 0, 0
339, 0, 0
342, 0, 0
351, 0, 0
356, 0, 0
360, 0, 0
361, 0, 0
373, 0, 0
377, 0, 0
381, 0, 0
382, 0, 0
384, 1, 0
394, 0, 0
398, 0, 0
401, 1, 0
403, 0, 0
407, 0, 0
420, 0, 0
424, 0, 0
436, 0, 0
441, 0, 0
450, 0, 0
454, 0, 0
464, 0, 0
468, 1, 0
472, 0, 0
474, 1, 0
483, 0, 0
487, 0, 0
488, 0, 0
498, 0, 0
499, 1, 0
513, 0, 0
519, 0, 0
521, 0, 0
529, 0, 0
550, 0, 0
553, 0, 0
555, 0, 0
557, 0, 0
558, 1, 0
559, 0, 0
561, 0, 0
570, 0, 0
586, 0, 0
590, 0, 0
592, 0, 0
603, 0, 0
606, 0, 0
609, 0, 0
614, 0, 0
627, 0, 0
